,phrase,funny count,percent funny
132,my wife said,120,1.0
133,you tell a,120,1.0
134,one says to,120,1.0
135,call a dog,119,1.0
136,are not funny,118,1.0
137,you heard the,118,1.0
138,a dog with,118,1.0
139,say when she,118,1.0
140,say to a,117,1.0
141,man goes to,117,1.0
142,shit out of,117,1.0
143,the joke about,116,1.0
144,afraid of because,116,1.0
145,you cross an,115,1.0
146,what is better,114,1.0
147,in his field,114,1.0
148,had a dollar,112,1.0
149,worst thing about,112,1.0
150,one turns to,111,1.0
151,the bartender asks,111,1.0
152,up all night,111,1.0
153,did you guys,110,1.0
154,is the definition,109,1.0
155,is green and,109,1.0
156,hear about that,109,1.0
157,bar and the,108,1.0
158,and the bartender,108,1.0
159,is a pirate,108,1.0
160,the shit out,108,1.0
161,get for christmas,107,1.0
162,the hipster burn,107,1.0
163,why is a,107,1.0
164,knock knock joke,107,1.0
165,can i have,105,1.0
166,girlfriend told me,104,1.0
167,doctor doctor i,104,1.0
168,like a box,104,1.0
169,when you mix,104,1.0
170,what is long,104,1.0
171,box of chocolates,103,1.0
172,did the mexican,102,1.0
173,mama so fat,102,1.0
174,are red violets,101,1.0
175,this morning i,101,1.0
176,momma is so,101,1.0
177,a dollar for,100,1.0
178,to a bar,100,1.0
179,so fat she,100,1.0
180,doctor told me,100,1.0
181,game of thrones,99,1.0
182,bar and says,99,1.0
183,red violets are,99,1.0
184,a small medium,99,1.0
185,in common both,99,1.0
186,the world those,98,1.0
187,on her period,98,1.0
188,damn girl are,98,1.0
189,i was gon,97,1.0
190,have a boyfriend,97,1.0
191,light bulb a,96,1.0
192,do black people,96,1.0
193,a dead baby,96,1.0
194,do i have,95,1.0
195,hipster burn his,95,1.0
196,my girlfriend told,94,1.0
197,friend asked me,94,1.0
198,jokes are not,94,1.0
199,make a joke,94,1.0
200,should not you,94,1.0
201,horse walks into,93,1.0
202,you are gon,92,1.0
203,a crusty bus,92,1.0
204,crusty bus station,92,1.0
205,of a bar,92,1.0
206,hardest part about,92,1.0
207,dollar for every,92,1.0
208,can not jelly,92,1.0
209,two one to,92,1.0
210,dog with no,91,1.0
211,should you never,91,1.0
212,why was afraid,91,1.0
213,is my favorite,90,1.0
214,for every time,90,1.0
215,what is red,90,1.0
216,in the ass,90,1.0
217,with no eyes,90,1.0
218,why do black,89,1.0
219,me you are,89,1.0
220,do you catch,89,1.0
221,says i will,89,1.0
222,is a crusty,88,1.0
223,a busty crustacean,88,1.0
224,sorry we do,88,1.0
225,a gay guy,87,1.0
226,shout out to,87,1.0
227,pirate is favorite,87,1.0
228,my girlfriend said,87,1.0
229,a lightbulb one,87,1.0
230,you guys hear,87,1.0
231,not know but,87,1.0
232,man a fish,87,1.0
233,part about being,87,1.0
234,a priest a,87,1.0
235,they say about,86,1.0
236,call a guy,86,1.0
237,why did hitler,86,1.0
238,bar and asks,86,1.0
239,comes once a,86,1.0
240,lightbulb none they,85,1.0
241,women how i,85,1.0
242,a good joke,85,1.0
243,is least favorite,85,1.0
244,and orders a,85,1.0
245,my women how,84,1.0
246,violets are blue,84,1.0
247,call a lesbian,84,1.0
248,no arms and,84,1.0
249,is a busty,83,1.0
250,i had sex,83,1.0
251,hot in here,83,1.0
252,you catch a,83,1.0
253,i forgot to,83,1.0
254,is red and,83,1.0
255,binary and those,83,1.0
256,you heard of,83,1.0
257,only comes once,83,1.0
258,that awkward moment,82,1.0
259,awkward moment when,82,1.0
260,my girlfriend and,82,1.0
261,are there no,81,1.0
262,did the pirate,81,1.0
263,asked me how,81,1.0
264,a horse walks,81,1.0
265,na na na,81,1.0
266,why the long,80,1.0
267,your girlfriend is,80,1.0
268,with but i,80,1.0
269,a lightbulb a,80,1.0
270,he only comes,80,1.0
271,where does a,80,1.0
272,guys walk into,79,1.0
273,a jew and,79,1.0
274,a bar it,79,1.0
275,not you hear,79,1.0
276,what he laced,78,1.0
277,outstanding in his,78,1.0
278,what is white,78,1.0
279,who understand binary,78,1.0
280,difference between jam,78,1.0
281,between jam and,78,1.0
282,my doctor told,78,1.0
283,a shih tzu,77,1.0
284,me do not,77,1.0
285,a bar a,77,1.0
286,are two types,77,1.0
287,joke what is,77,1.0
288,is favorite type,77,1.0
289,into a club,77,1.0
290,wife asked me,77,1.0
291,you tell the,76,1.0
292,you think i,76,1.0
293,did the boy,76,1.0
294,the room for,76,1.0
295,say when his,76,1.0
296,says we do,76,1.0
297,do you turn,76,1.0
298,bar and orders,76,1.0
299,a dog it,76,1.0
300,with my girlfriend,76,1.0
301,difference between your,76,1.0
302,so i said,75,1.0
303,laced them with,75,1.0
304,none they just,75,1.0
305,the fuck out,75,1.0
306,will be warm,74,1.0
307,a tank one,74,1.0
308,tripping all day,74,1.0
309,seal walks into,74,1.0
310,guy at the,74,1.0
311,a pilot you,74,1.0
312,says i have,74,1.0
313,call a person,74,1.0
314,cops does it,74,1.0
315,men walk into,73,1.0
316,i do it,73,1.0
317,had a dream,73,1.0
318,he laced them,73,1.0
319,garbanzo bean on,73,1.0
320,teach a man,73,1.0
321,what did cinderella,73,1.0
322,a new barbie,73,1.0
323,new barbie doll,73,1.0
324,barbie doll on,73,1.0
325,light bulb one,73,1.0
326,because they always,73,1.0
327,light bulb two,73,1.0
328,women are like,73,1.0
329,be warm for,72,1.0
330,my sex life,72,1.0
331,bulb none they,72,1.0
332,orders a drink,72,1.0
333,it hit me,72,1.0
334,full of shit,72,1.0
335,to stop masturbating,72,1.0
336,one to change,72,1.0
337,saw a guy,72,1.0
338,dog it was,72,1.0
339,how many cops,72,1.0
340,in common the,72,1.0
341,did the cannibal,71,1.0
342,one with everything,71,1.0
343,under a buck,71,1.0
344,drive this thing,71,1.0
345,on the toilet,71,1.0
346,them with but,71,1.0
347,have been tripping,71,1.0
348,been tripping all,71,1.0
349,white and red,71,1.0
350,wife told me,71,1.0
351,people does it,71,1.0
352,baby and a,71,1.0
353,bartender says hey,71,1.0
354,understand binary and,71,1.0
355,fat when she,71,1.0
356,did the farmer,71,1.0
357,and no legs,71,1.0
358,room for being,71,1.0
359,for being black,71,1.0
360,you say when,71,1.0
361,bus station and,70,1.0
362,in my sleep,70,1.0
363,and a jew,70,1.0
364,this joke is,70,1.0
365,a drink named,70,1.0
366,night wondering if,70,1.0
367,bean on my,70,1.0
368,in common you,70,1.0
369,in common a,70,1.0
370,a lobster with,69,1.0
371,my friend asked,69,1.0
372,a bar bartender,69,1.0
373,did the blind,69,1.0
374,other day it,69,1.0
375,you turn a,69,1.0
376,so fat when,69,1.0
377,is donald trump,69,1.0
378,and a lobster,68,1.0
379,jew and a,68,1.0
380,and a pizza,68,1.0
381,all night wondering,68,1.0
382,red all over,68,1.0
383,a lightbulb just,68,1.0
384,many cops does,68,1.0
385,denim denim denim,67,1.0
386,joke what do,67,1.0
387,why did god,67,1.0
388,the long face,67,1.0
389,not jelly my,67,1.0
390,would you call,67,1.0
391,did the fish,67,1.0
392,how i feel,67,1.0
393,you a joke,67,1.0
394,you ever tried,67,1.0
395,a bar i,67,1.0
396,you seen the,67,1.0
397,call a fat,67,1.0
398,a plane a,67,1.0
399,tell a joke,67,1.0
400,my mom is,67,1.0
401,in bed with,67,1.0
402,and a chickpea,67,1.0
403,me do you,67,1.0
404,call a fish,66,1.0
405,yo momma is,66,1.0
406,and red all,66,1.0
407,my wife told,66,1.0
408,whoops wrong sub,66,1.0
409,it when people,66,1.0
410,say when you,66,1.0
411,my friend said,66,1.0
412,first rule of,65,1.0
413,and a prostitute,65,1.0
414,got fired from,65,1.0
415,it runs in,65,1.0
416,guy and a,65,1.0
417,does donald trump,65,1.0
418,the bar tender,65,1.0
419,a baby and,65,1.0
420,fish and he,65,1.0
421,yo momma so,65,1.0
422,a bar ouch,65,1.0
423,brown and sticky,65,1.0
424,life gives you,65,1.0
425,on my phone,64,1.0
426,from a drug,64,1.0
427,bartender says we,64,1.0
428,girlfriend and i,64,1.0
429,a joke i,64,1.0
430,finish a race,64,1.0
431,step step step,64,1.0
432,between a jew,63,1.0
433,the other i,63,1.0
434,gon na get,63,1.0
435,guys hear about,63,1.0
436,a blow job,63,1.0
437,never gon na,63,1.0
438,you tell when,63,1.0
439,is this some,62,1.0
440,and asks the,62,1.0
441,i bought some,62,1.0
442,rhymes with snoop,62,1.0
443,did the scarecrow,62,1.0
444,was outstanding in,62,1.0
445,no but i,62,1.0
446,is favorite letter,62,1.0
447,arms and no,62,1.0
448,wan na know,62,1.0
449,piece of shit,62,1.0
450,says sorry we,62,1.0
451,no you are,61,1.0
452,no pun in,61,1.0
453,joke about a,61,1.0
454,my neighbor is,61,1.0
455,to the dentist,61,1.0
456,and rhymes with,61,1.0
457,take to make,61,1.0
458,link it is,61,1.0
459,it is fucking,61,1.0
460,bartender says what,61,1.0
461,make up everything,61,1.0
462,die i want,61,1.0
463,with one leg,61,1.0
464,black man and,61,1.0
465,elephant and a,61,1.0
466,make me one,60,1.0
467,me one with,60,1.0
468,in an elevator,60,1.0
469,the bulb and,60,1.0
470,pun in ten,60,1.0
471,shoes from a,60,1.0
472,hate when people,60,1.0
473,i thought to,60,1.0
474,my wife i,60,1.0
475,i got ta,60,1.0
476,about the two,60,1.0
477,pilot you racist,60,1.0
478,met a girl,60,1.0
479,did the dog,60,1.0
480,close to water,60,1.0
481,cow with no,60,1.0
482,your uncle jack,60,1.0
483,difference between my,59,1.0
484,fish say when,59,1.0
485,this some kind,59,1.0
486,he was outstanding,59,1.0
487,father is day,59,1.0
488,between a woman,59,1.0
489,the bartender looks,59,1.0
490,walks into the,59,1.0
491,a bar one,59,1.0
492,eat for breakfast,59,1.0
493,you are what,59,1.0
494,will smith in,58,1.0
495,fire and he,58,1.0
496,a lightbulb two,58,1.0
497,say when they,58,1.0
498,does anyone know,58,1.0
499,knocked on my,58,1.0
500,blind man walks,58,1.0
501,is the similarity,58,1.0
502,give a shit,58,1.0
503,call a girl,58,1.0
504,im not racist,58,1.0
505,so fat that,58,1.0
506,you stop a,58,1.0
507,hey girl are,58,1.0
508,for my birthday,58,1.0
509,afraid of seven,58,1.0
510,so i took,57,1.0
511,both stuck up,57,1.0
512,a blonde and,57,1.0
513,you find will,57,1.0
514,find will smith,57,1.0
515,sex with my,57,1.0
516,i got fired,57,1.0
517,difference between jelly,57,1.0
518,jelly and jam,57,1.0
519,in here the,57,1.0
520,hipsters does it,57,1.0
521,in ten did,57,1.0
522,and a rabbi,57,1.0
523,oops wrong sub,57,1.0
524,is your emergency,57,1.0
525,say to her,57,1.0
526,not serve your,57,1.0
527,plane a pilot,57,1.0
528,what the fuck,57,1.0
529,drug dealer i,57,1.0
530,the reception was,57,1.0
531,hear a pterodactyl,57,1.0
532,is like my,57,1.0
533,call a deer,57,1.0
534,year olds there,57,1.0
535,dead ant dead,57,1.0
536,warm for the,56,1.0
537,going to hell,56,1.0
538,between jelly and,56,1.0
539,dick in your,56,1.0
540,an elephant with,56,1.0
541,how many hipsters,56,1.0
542,many hipsters does,56,1.0
543,the easter bunny,56,1.0
544,joke but i,56,1.0
545,i feel about,56,1.0
546,is a pirates,56,1.0
547,not have vision,56,1.0
548,brown and rhymes,56,1.0
549,i call my,56,1.0
550,off of my,56,1.0
551,flying a plane,56,1.0
552,the liquor store,56,1.0
553,p is silent,56,1.0
554,about the dyslexic,56,1.0
555,like my slaves,56,1.0
556,him and says,56,1.0
557,sex in a,56,1.0
558,just asked me,56,1.0
559,a fish with,55,1.0
560,is there the,55,1.0
561,into a bra,55,1.0
562,jelly my dick,55,1.0
563,my dick in,55,1.0
564,in your ass,55,1.0
565,got kicked out,55,1.0
566,how many tickles,55,1.0
567,called when a,55,1.0
568,between a chickpea,55,1.0
569,should you do,55,1.0
570,thinks he is,55,1.0
571,bar it was,55,1.0
572,fucking close to,55,1.0
573,a polar bear,55,1.0
574,ant dead ant,55,1.0
575,cannibal do after,54,1.0
576,the first rule,54,1.0
577,a woman walks,54,1.0
578,why i pulled,54,1.0
579,pulled you over,54,1.0
580,kim jong un,54,1.0
581,the fish say,54,1.0
582,did the black,54,1.0
583,is hitler is,54,1.0
584,q what does,54,1.0
585,coffee before it,54,1.0
586,between a black,54,1.0
587,are you the,54,1.0
588,off the swing,54,1.0
589,a chickpea and,54,1.0
590,chickpea and a,54,1.0
591,bean and a,54,1.0
592,come forth and,54,1.0
593,six afraid of,54,1.0
594,was a shih,53,1.0
595,hand it to,53,1.0
596,is the joke,53,1.0
597,stuck up cunts,53,1.0
598,blonde and a,53,1.0
599,loaf of bread,53,1.0
600,chuck norris is,53,1.0
601,just gon na,53,1.0
602,a beer and,53,1.0
603,worry they will,53,1.0
604,did helen keller,53,1.0
605,why is santa,53,1.0
606,many tickles does,53,1.0
607,called when you,53,1.0
608,a dirty joke,53,1.0
609,so i bought,53,1.0
610,dressed man on,53,1.0
611,sex with me,53,1.0
612,is favorite drink,53,1.0
613,did the little,53,1.0
614,what is another,53,1.0
615,what is donald,53,1.0
616,came fifth and,53,1.0
617,have a garbanzo,53,1.0
618,gon na give,53,1.0
619,have a friend,52,1.0
620,joke knock knock,52,1.0
621,heard the one,52,1.0
622,beer and a,52,1.0
623,does sean connery,52,1.0
624,and anal sex,52,1.0
625,why are the,52,1.0
626,a baby seal,52,1.0
627,why are black,52,1.0
628,tickles does it,52,1.0
629,says i can,52,1.0
630,a worm in,52,1.0
631,how many dead,52,1.0
632,guy who invented,52,1.0
633,keep the tip,52,1.0
634,a cow that,52,1.0
635,the pirate say,52,1.0
636,hello from the,52,1.0
637,much does a,52,1.0
638,why do men,52,1.0
639,did cinderella say,52,1.0
640,me why i,52,1.0
641,says i do,52,1.0
642,his sister in,52,1.0
643,way i like,52,1.0
644,the toilet paper,52,1.0
645,if donald trump,51,1.0
646,i pulled you,51,1.0
647,what is inches,51,1.0
648,a rectal thermometer,51,1.0
649,for the juggler,51,1.0
650,difference between jesus,51,1.0
651,two fish are,51,1.0
652,you circumcise a,51,1.0
653,call a bunch,51,1.0
654,wan na be,51,1.0
655,a lesbian dinosaur,51,1.0
656,who can count,51,1.0
657,is there not,51,1.0
658,what is big,51,1.0
659,dealer i do,51,1.0
660,between a garbanzo,51,1.0
661,having sex in,51,1.0
662,about having sex,51,1.0
663,beat the room,51,1.0
664,fuck out of,51,1.0
665,the p is,51,1.0
666,a deer with,51,1.0
667,deer with no,51,1.0
668,does not fart,51,1.0
669,says why the,51,1.0
670,patrick is day,51,1.0
671,turns out he,50,1.0
672,did the elephant,50,1.0
673,do you circumcise,50,1.0
674,burn his tongue,50,1.0
675,how many mexicans,50,1.0
676,a pirates favorite,50,1.0
677,you mix a,50,1.0
678,all right now,50,1.0
679,it on my,50,1.0
680,you are dead,50,1.0
681,can clearly see,50,1.0
682,the barman says,50,1.0
683,is your name,50,1.0
684,jam and jelly,50,1.0
685,tampon say to,50,1.0
686,and says you,50,1.0
687,kind of joke,50,1.0
688,not fart when,50,1.0
689,my yr old,50,1.0
690,do you confuse,50,1.0
691,call a blind,50,1.0
692,the only animal,50,1.0
693,do after he,49,1.0
694,na make a,49,1.0
695,guys does it,49,1.0
696,fall off a,49,1.0
697,did the egg,49,1.0
698,runs in your,49,1.0
699,where does the,49,1.0
700,told my girlfriend,49,1.0
701,favorite kind of,49,1.0
702,in an oven,49,1.0
703,hitler is favorite,49,1.0
704,baby seal walks,49,1.0
705,hear the joke,49,1.0
706,apparently it is,49,1.0
707,should be called,49,1.0
708,worse than finding,49,1.0
709,it is hot,49,1.0
710,call a nun,49,1.0
711,probably never heard,49,1.0
712,favorite part of,49,1.0
713,a bar they,49,1.0
714,does a gay,49,1.0
715,nsfw what is,49,1.0
716,pirate walks into,49,1.0
717,down a hill,49,1.0
718,year old girl,49,1.0
719,a day teach,49,1.0
720,feed a family,49,1.0
721,can count and,49,1.0
722,get off of,49,1.0
723,one to screw,49,1.0
724,cinderella say when,49,1.0
725,and sticky a,49,1.0
726,but the reception,49,1.0
727,does a black,49,1.0
728,egg say to,49,1.0
729,call me ugly,49,1.0
730,up and says,49,1.0
731,uncle jack off,49,1.0
732,i heard they,48,1.0
733,a feminist and,48,1.0
734,and a mop,48,1.0
735,and jam i,48,1.0
736,orders a beer,48,1.0
737,so many levels,48,1.0
738,there are kinds,48,1.0
739,are kinds of,48,1.0
740,between jesus and,48,1.0
741,got arrested for,48,1.0
742,what is hitler,48,1.0
743,your mother is,48,1.0
744,do you use,48,1.0
745,my girlfriend asked,48,1.0
746,joke in the,48,1.0
747,a double entendre,48,1.0
748,to the bartender,48,1.0
749,doctor i have,48,1.0
750,the other says,48,1.0
751,fish with no,48,1.0
752,i can clearly,48,1.0
753,what sound does,48,1.0
754,the street one,48,1.0
755,i feel bad,48,1.0
756,call a midget,48,1.0
757,day teach a,48,1.0
758,not there any,48,1.0
759,common with a,48,1.0
760,picture of jesus,48,1.0
761,not pay to,48,1.0
762,light bulb just,48,1.0
763,a pool table,48,1.0
764,olds there is,48,1.0
765,knock knock jokes,48,1.0
766,a pirate walks,48,1.0
767,i bet the,48,1.0
768,me this one,48,1.0
769,square root of,48,1.0
770,bartender says sorry,48,1.0
771,going to eat,48,1.0
772,a reptile dysfunction,48,1.0
773,you keep a,47,1.0
774,is inches long,47,1.0
775,feminist and a,47,1.0
776,a gay joke,47,1.0
777,one to hold,47,1.0
778,have probably never,47,1.0
779,a talking muffin,47,1.0
780,today i was,47,1.0
781,im thinking of,47,1.0
782,so i gave,47,1.0
783,a white guy,47,1.0
784,man say when,47,1.0
785,my dick is,47,1.0
786,without a tres,47,1.0
787,long does it,47,1.0
788,had no arms,47,1.0
789,like my wine,47,1.0
790,accused me of,47,1.0
791,year is resolution,47,1.0
792,will eat for,47,1.0
793,just beat the,47,1.0
794,call a chinese,47,1.0
795,credit goes to,47,1.0
796,station and the,47,1.0
797,what do women,47,1.0
798,a skeleton walks,47,1.0
799,twenty of them,47,1.0
800,heard the joke,47,1.0
801,i named my,47,1.0
802,termite walks into,47,1.0
803,a chickpea i,47,1.0
804,a library and,47,1.0
805,if a woman,47,1.0
806,asks the bartender,47,1.0
807,off a horse,47,1.0
808,the square root,47,1.0
809,say to another,47,1.0
810,a dirty bus,47,1.0
811,a bar you,46,1.0
812,why do jews,46,1.0
813,my dog is,46,1.0
814,i get you,46,1.0
815,the egg say,46,1.0
816,mexicans does it,46,1.0
817,and a dead,46,1.0
818,you can eat,46,1.0
819,are black people,46,1.0
820,says to his,46,1.0
821,my job as,46,1.0
822,men are like,46,1.0
823,your mom and,46,1.0
824,an irishman walks,46,1.0
825,momma so fat,46,1.0
826,found out my,46,1.0
827,cross an elephant,46,1.0
828,can feed a,46,1.0
829,i will let,46,1.0
830,skeleton walks into,46,1.0
831,fart when you,46,1.0
832,when you pull,46,1.0
833,world those that,46,1.0
834,how does an,46,1.0
835,in your pants,46,1.0
836,just one but,46,1.0
837,give you up,46,1.0
838,the road i,45,1.0
839,at a gay,45,1.0
840,does a blonde,45,1.0
841,with breast implants,45,1.0
842,i broke up,45,1.0
843,at first you,45,1.0
844,a mile in,45,1.0
845,green and smells,45,1.0
846,worked it out,45,1.0
847,looks up and,45,1.0
848,named after you,45,1.0
849,bar he orders,45,1.0
850,know when a,45,1.0
851,many mexicans does,45,1.0
852,it so hard,45,1.0
853,what is blue,45,1.0
854,a table and,45,1.0
855,asks his father,45,1.0
856,for his birthday,45,1.0
857,did the leper,45,1.0
858,between a baby,45,1.0
859,garbanzo bean and,45,1.0
860,dick tastes like,45,1.0
861,call a blonde,45,1.0
862,which one is,45,1.0
863,well well well,45,1.0
864,a time machine,45,1.0
865,the bathroom because,45,1.0
866,so now i,45,1.0
867,butt fuck it,45,1.0
868,me i need,45,1.0
869,a steering wheel,45,1.0
870,you gon na,45,1.0
871,for my wife,45,1.0
872,bar the first,45,1.0
873,the best joke,45,1.0
874,my doctor said,45,1.0
875,call an asian,45,1.0
876,about the gay,45,1.0
877,ha ha ha,45,1.0
878,the cannibal do,44,1.0
879,if i should,44,1.0
880,woman walks into,44,1.0
881,when does a,44,1.0
882,go down on,44,1.0
883,your momma is,44,1.0
884,jam i can,44,1.0
885,what idiot called,44,1.0
886,my wife to,44,1.0
887,about the constipated,44,1.0
888,so bad at,44,1.0
889,my new year,44,1.0
890,tell if someone,44,1.0
891,in your apple,44,1.0
892,how much for,44,1.0
893,flag is a,44,1.0
894,boil the hell,44,1.0
895,men does it,44,1.0
896,ca not believe,44,1.0
897,pick up line,44,1.0
898,you are fired,44,1.0
899,between a dirty,44,1.0
900,the fuck up,44,1.0
901,in my pants,44,1.0
902,just got laid,44,1.0
903,did the gay,44,1.0
904,if a girl,44,1.0
905,late for work,44,1.0
906,like my grandfather,44,1.0
907,why would the,44,1.0
908,two guys walk,44,1.0
909,me she is,44,1.0
910,two men walk,43,1.0
911,what has four,43,1.0
912,tell me a,43,1.0
913,my girlfriend was,43,1.0
914,girlfriend is like,43,1.0
915,me can i,43,1.0
916,remind me of,43,1.0
917,f out of,43,1.0
918,germans does it,43,1.0
919,what the difference,43,1.0
920,of the closet,43,1.0
921,my mood ring,43,1.0
922,give a fuck,43,1.0
923,sodium sodium sodium,43,1.0
924,today i saw,43,1.0
925,walks in to,43,1.0
926,my cat is,43,1.0
927,with snoop dr,43,1.0
928,snoop dr dre,43,1.0
929,was walking down,43,1.0
930,hear a dirty,43,1.0
931,boy asks his,43,1.0
932,charged with battery,43,1.0
933,word for a,43,1.0
934,piece of cake,43,1.0
935,take to kill,43,1.0
936,made this up,43,1.0
937,in my soup,43,1.0
938,is there no,43,1.0
939,you are drunk,43,1.0
940,what do u,43,1.0
941,a joke my,43,1.0
942,have you guys,43,1.0
943,what do people,43,1.0
944,where would you,43,1.0
945,it out loud,43,1.0
946,did the baker,43,1.0
947,does that make,43,1.0
948,whitney houston is,43,1.0
949,i said do,43,1.0
950,kick his sister,43,1.0
951,in common neither,43,1.0
952,into a library,43,1.0
953,see your nuts,43,1.0
954,drop the bomb,43,1.0
955,legs ground beef,43,1.0
956,and a priest,43,1.0
957,my wife just,43,1.0
958,na give you,43,1.0
959,bulb two one,43,1.0
960,just like my,42,1.0
961,so a guy,42,1.0
962,in my face,42,1.0
963,asks do you,42,1.0
964,call me a,42,1.0
965,and a joke,42,1.0
966,in the microwave,42,1.0
967,my sleep like,42,1.0
968,sleep like my,42,1.0
969,jesus and a,42,1.0
970,piano tulips on,42,1.0
971,going down on,42,1.0
972,joke about my,42,1.0
973,thank you i,42,1.0
974,my girlfriend just,42,1.0
975,you start a,42,1.0
976,out standing in,42,1.0
977,a rip off,42,1.0
978,man to fish,42,1.0
979,i said maybe,42,1.0
980,pizza can feed,42,1.0
981,first you do,42,1.0
982,do not succeed,42,1.0
983,inches long and,42,1.0
984,part about having,42,1.0
985,count and those,42,1.0
986,i invented a,42,1.0
987,there so many,42,1.0
988,sticky a stick,42,1.0
989,come out yet,42,1.0
990,a termite walks,42,1.0
991,is the bar,42,1.0
992,won a toaster,42,1.0
993,hate when i,42,1.0
994,do you never,42,1.0
995,you throw a,42,1.0
996,a rabbi and,42,1.0
997,not serve food,42,1.0
998,lobster with breast,41,1.0
999,a prostitute with,41,1.0
1000,my job at,41,1.0
1001,call a muslim,41,1.0
1002,do you fit,41,1.0
1003,fish are in,41,1.0
1004,your hole weak,41,1.0
1005,pirates favorite letter,41,1.0
1006,in my day,41,1.0
1007,guinness book of,41,1.0
1008,if a tree,41,1.0
1009,a tree falls,41,1.0
1010,roman walks into,41,1.0
1011,than finding a,41,1.0
1012,worm in your,41,1.0
1013,to the prostitute,41,1.0
1014,joke but it,41,1.0
1015,i grow up,41,1.0
1016,trump and hillary,41,1.0
1017,how long is,41,1.0
1018,can not spell,41,1.0
1019,sound does a,41,1.0
1020,serve your kind,41,1.0
1021,and deer nuts,41,1.0
1022,the leper say,41,1.0
1023,so a man,41,1.0
1024,a chicken sedan,41,1.0
1025,you hear what,41,1.0
1026,like my men,41,1.0
1027,do when she,41,1.0
1028,just so i,41,1.0
1029,into my house,41,1.0
1030,a lentil on,41,1.0
1031,if at first,41,1.0
1032,and a hooker,41,1.0
1033,beef what do,41,1.0
1034,how many germans,41,1.0
1035,do women and,41,1.0
1036,guess i will,41,1.0
1037,q what kind,41,1.0
1038,asked me why,41,1.0
1039,you ever see,41,1.0
1040,to get hard,41,1.0
1041,you call nuts,41,1.0
1042,call nuts on,41,1.0
1043,kind of bees,41,1.0
